id,question,choices,answerKey
MCAS_2005_5_29,"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?","{'text': array(['plant decomposition', 'radioactive decay', 'water erosion',
       'wind erosion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
MCAS_2001_8_7,"When igneous rock is changed into metamorphic rock, which form of energy is this process?","{'text': array(['heat', 'chemical', 'magnetic', 'light'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_400329,"In humans, the digestion process begins in","{'text': array(['the intestine, with squeezing.',
       'the mouth, with chewing and saliva.',
       'the stomach, with churning and acid.',
       'the esophagus, with pushing towards the stomach.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_SC_407440,Which of these items contains only a solution?,"{'text': array(['a jar of pickles', 'a bottle of juice', 'a bag of peanuts',
       'a can of mixed fruit'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
MCAS_2016_8_7,"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?","{'text': array(['chemical weathering', 'mechanical weathering', 'water erosion',
       'wind erosion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
MEA_2016_8_8,"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?","{'text': array(['It would be mostly light brown beetles.',
       'It would be mostly dark green beetles.',
       'It would be mostly carnivorous beetles.',
       'It would be mostly very large beetles.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_400124,A scientist wanting to document a change in a river's flow pattern should observe a river over a period of,"{'text': array(['days.', 'weeks.', 'months.', 'years.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_405944,Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,"{'text': array(['air pollution.', 'heat pollution.', 'noise pollution.',
       'light pollution.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_405129,"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?","{'text': array(['an increased loudness of sound', 'a reflection of sound',
       'an increased frequency of sound', 'a refraction of sound'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
NYSEDREGENTS_2011_8_4,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,"{'text': array(['chemical', 'nuclear', 'magnetic', 'electrical'], dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",1
Mercury_SC_406063,A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?,"{'text': array(['conduction', 'convection', 'radiation', 'transformation'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_412056,"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?","{'text': array(['both red', 'both white', 'one red and one white',
       'one white and one pink'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7016590,"Scientists use the term ""light year"" to describe","{'text': array(['how fast light travels in space.',
       'the distance light travels in one year.',
       'how large the diameters of different stars are.',
       'the time it takes the Sun to move through the galaxy.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7148628,Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?,"{'text': array(['convergent', 'subduction', 'transform', 'divergent'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
NYSEDREGENTS_2007_8_7,Which group of organisms can show significant trait changes in the shortest period of time?,"{'text': array(['bacteria', 'birds', 'fish', 'reptiles'], dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",1
CSZ10336,Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?,"{'text': array(['to attract bees for pollination', 'to create flower arrangements',
       'to protect the tree from disease', 'to feed migratory birds'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7109393,A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?,"{'text': array(['tree rings', 'pollen samples', 'harvest production',
       'carbon dating'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_LBS10953,Which of these would help to prevent infections from occurring in small cuts and scrapes?,"{'text': array(['apply a cold ice pack', 'raise the injured area',
       'apply pressure to stop bleeding',
       'wash the area with warm, soapy water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
NCEOGA_2013_5_8,Which best describes why winds at the beach change direction between day and night?,"{'text': array(['because the temperatures over land and over water change',
       'because warm air over land sinks and stays in place over land',
       'because cool air rises and is replaced by warm air from the ocean',
       'because cool air sinks and stays in place over land'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7017763,Soil erosion can be best prevented by,"{'text': array(['removing grass from the steepest slope.',
       'building terraces into the sides of a slope.',
       'heavily watering the vegetation on the slope.',
       'increasing the slope of the land by adding more soil.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
MCAS_1999_4_29,Which of the following properties provides the BEST way to identify a mineral?,"{'text': array(['hardness', 'shape', 'size', 'temperature'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
NYSEDREGENTS_2011_8_20,Which sequence represents the order of development for many plants?,"{'text': array(['seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows',
       'seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows',
       'seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit',
       'seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit'],
      dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",1
VASoL_2009_5_4,"When ice cream is left out of a freezer, the ice cream changes from a ___.","{'text': array(['solid to a gas', 'gas to a liquid', 'solid to a liquid',
       'liquid to a gas'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
NYSEDREGENTS_2005_8_9,Which equipment will best separate a mixture of iron filings and black pepper?,"{'text': array(['magnet', 'filter paper', 'triple-beam balance', 'voltmeter'],
      dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",1
NAEP_2011_8_S11+3,Which characteristic is shared by all cells?,"{'text': array(['They need energy.', 'They reproduce sexually.',
       'They make their own food.', 'They move from place to place.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7018305,"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?","{'text': array(['birds with long, probing beaks', 'birds with thick, strong beaks',
       'birds with thin, short beaks', 'birds with large, pouch beaks'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7145250,"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?","{'text': array(['Both have undergone similar mutations.',
       'Both descended from a common ancestor.',
       'Both reacted similarly to environmental pressures.',
       'Both spread out from the same geographical region.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7220903,A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning,"{'text': array(['cell membrane.', 'endoplasmic reticulum.', 'Golgi body.',
       'nuclear envelope.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_416457,Which best describes all unicellular organisms?,"{'text': array(['Every cell is round.', 'Every cell can make food.',
       'Every cell can move on its own.',
       'Every cell performs all life functions.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_7015313,"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?","{'text': array(['Particles travel from right to left along the wave.',
       'Particles travel from left to right along the wave.',
       'Particles move back and forth parallel to the wave.',
       'Particles move back and forth perpendicular to the wave.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_7001663,Which characteristic below most likely accounts for our limited knowledge of galaxies?,"{'text': array(['their tiny size', 'their magnetic cores',
       'their inability to produce light',
       'their great distance from Earth'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_7172778,Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?,"{'text': array(['by adding carbon', 'by adding nitrogen',
       'by removing excess water', 'by removing excess minerals'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7024168,"When oxygen combines with hydrogen, which substance is formed?","{'text': array(['water', 'vinegar', 'hydrochloric acid', 'hydrogen dioxide'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7150360,"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?","{'text': array(['chemical energy', 'kinetic energy', 'light energy', 'heat energy'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7071558,Which of the following is a typical example of a unicellular organism?,"{'text': array(['earthworm', 'bacteria', 'fungi', 'green algae'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7245403,"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?","{'text': array(['erosion of sediment from a mountain range',
       'mass extinction of marine organisms',
       'formation of an ocean trench', 'melting of polar ice caps'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_SC_401822,Which body system is most responsible for the removal of waste?,"{'text': array(['skeletal system', 'nervous system', 'muscular system',
       'excretory system'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
OHAT_2007_8_23,In which environment is white fur color an advantage for survival?,"{'text': array(['desert', 'grassland', 'arctic tundra', 'temperate forest'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_7212380,Which of these will best separate iron filings from sand?,"{'text': array(['water', 'a magnifying glass', 'a magnet', 'rubbing alcohol'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_414132,Which of these is the chemical symbol for magnesium?,"{'text': array(['Ma', 'Mg', 'Mn', 'Mu'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7121800,Which of the following is most likely to lead to error in an experiment?,"{'text': array(['bias', 'repeated trials', 'peer review', 'use of a control'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
MCAS_2001_8_2,Which best describes transportation technology?,"{'text': array(['a system that is used to move people and products',
       'an enterprise that changes raw materials into goods',
       'the building and finishing of structures',
       'the conversion of mechanical energy into heat energy'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7121765,"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?","{'text': array(['radiant energy', 'nuclear energy', 'electrical energy',
       'mechanical energy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_7011165,Which characteristic is affected by interactions with the environment?,"{'text': array(['weight', 'eye color', 'blood type', 'handedness'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7033793,Which is the greatest impact humans have had on the carbon cycle?,"{'text': array(['clear-cutting forests', 'manufacturing plastics',
       'burning fossil fuels', 'growing agricultural crops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_SC_400301,The floating arrow on a compass always points towards the,"{'text': array(['west.', 'east.', 'south.', 'north.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
NYSEDREGENTS_2016_4_21,"Which color shirt will reflect the most light on a hot, sunny day?","{'text': array(['black', 'blue', 'red', 'white'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
MCAS_2005_9_13,"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?","{'text': array(['Iron is twice as dense as aluminum.',
       'Atoms of aluminum are smaller than atoms of iron.',
       'Using equal masses results in similar heat capacities.',
       'The specific heat of iron is less than that of aluminum.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
MCAS_1999_4_31,"If its food supply in a field decreases, the mouse population in that field will probably","{'text': array(['increase.', 'decrease.', 'remain the same.', 'become extinct.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7234413,Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?,"{'text': array(['release of carbon into the atmosphere',
       'release of oxygen into the atmosphere',
       'cycling phosphorus into the soil',
       'cycling hydrogen into the soil'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
MCAS_2007_8_5167,Which of the following is an example of a physical change but not a chemical change?,"{'text': array(['A log gives off heat and light as it burns.',
       'A tree stores energy from the Sun in its fruit.',
       'A penny lost in the grass slowly changes color.',
       'A water pipe freezes and cracks on a cold night.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_7080938,"While conducting an investigation on refraction, a teacher uses a red laser pointer to show how a beam of light is affected as it passes through several glass objects. The teacher should make sure that the","{'text': array(['room is totally dark.', 'light source is ultraviolet.',
       'beam of light does not travel toward the students.',
       'room walls are shielded with insulating material.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_SC_408443,One student wrote a report about an investigation in which fertilizer was added to tomato plants. Which information from that student's report would most help a second student repeat the investigation?,"{'text': array(['the amount of fertilizer added',
       'the height of the fertilized plants',
       'the size of each tomato produced',
       'the number of tomatoes produced'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
VASoL_2007_3_5,A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,"{'text': array(['Wheel and axle', 'Lever', 'Inclined plane', 'Screw'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_403680,Rust is a compound with the formula Fe_{2}O_{3}. Which elements combine to form rust?,"{'text': array(['iron and water', 'iron and oxygen', 'iron and air',
       'iron and acid'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_400223,The chemical equation below shows a reaction of copper (Cu) with silver nitrate (AgNO_{3}) yielding silver (Ag) and copper(II) nitrate (Cu(NO_{3})_{2}) Cu + 2AgNO_{3} -> 2Ag + Cu(NO_{3})_{2} Silver and copper(II) nitrate are called the,"{'text': array(['reactants.', 'products.', 'catalysts.', 'inhibitors.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_184625,What role does the centromere play in cellular reproduction?,"{'text': array(['It is the area where microtubules are formed.',
       'It is the area where the nucleus is during cell division.',
       'It is the area of alignment for the chromosomes.',
       'It is the area of attachment for chromatids.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
MCAS_2005_8_14,"If 1 kg of the compound toluene melts at -95°C, then 500 g of toluene will","{'text': array(['melt at -47.5°C.', 'melt at -95°C.', 'boil at 95°C.',
       'boil at 47.5°C.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_409478,"A calculation based on the chemical energy of gasoline shows that a car should be able to go 100 miles on a gallon of fuel. When the car was driven on a test track, the car only went 25 miles on a gallon of fuel. What accounts for most of the difference?","{'text': array(['the mass of the driver and the fuel carried by the car',
       'the wind resistance between the car and the air nearby',
       'the waste heat from the combustion of fuel in the engine',
       'the friction between the tires and the surface of the track'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_7038325,A student wants to find the relationship between the diameter of several plastic disks and the circumference of each disk. Which of these types of graphs should be constructed to determine this relationship?,"{'text': array(['pie graph', 'line graph', 'scatterplot', 'box-and-whisker plot'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_SC_402624,"When light is bounced off a mirror, the light is","{'text': array(['reflected.', 'refracted.', 'absorbed.', 'diffracted.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_185430,Which of the following sentences best explains what happens when puddles evaporate?,"{'text': array(['The water absorbs into the ground.',
       'The particles of matter move more slowly.',
       'The water changes from one form to another.',
       'The particles of matter move closer together.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
Mercury_SC_416101,Plants on hills keep dirt in place during a rain storm. Plant roots grow into the dirt and keep the dirt from moving. Why do roots grow into the dirt?,"{'text': array(['to release gases', 'to release water', 'to absorb energy',
       'to absorb nutrients'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
NYSEDREGENTS_2007_8_12,"In animal skin tissue, cell division is responsible for","{'text': array(['growth and repair', 'sexual reproduction', 'obtaining energy',
       'production of sex cells'], dtype=object), 'label': array(['1', '2', '3', '4'], dtype=object)}",1
Mercury_7239680,Which process drives most of the ATP synthesis in a chloroplast?,"{'text': array(['flow of protons across an electrochemical gradient',
       'flow of tRNA across an electrochemical gradient',
       'exposure of ADP to electromagnetic waves',
       'exposure of carbohydrates to electromagnetic waves'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
NAEP_2000_8_S21+9,Which of the following is most consistent with the modern theory of evolution?,"{'text': array(['Parents pass their physical traits to their offspring; those offspring with traits that help them survive in the environment are able to reproduce.',
       'Parents change their physical traits in order to survive in the environment, then those parental traits are passed to their offspring.',
       'Life on this planet came from another planet far out in space.',
       'Living organisms have not changed for hundreds of millions of years.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7164115,Felicia investigated whether water color affected how fast the water heated in sunlight. She poured tap water into five beakers and placed food coloring in four out of the five beakers. Felicia then used a thermometer to measure the temperature of the water in each of the beakers. Which of these was used as control in her investigation?,"{'text': array(['mixing the food coloring in water',
       'testing the beaker of uncolored tap water',
       'using the same amount of water in each trial',
       'testing the colored water samples at different times'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7085365,One process in the formation of sedimentary rocks is when rocks are,"{'text': array(['compressed by moving plates.',
       'heated and subjected to high pressure.',
       'broken up and deposited in layers.',
       'moved up along fault planes.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
AIMS_2008_4_12,Western coral snakes have a striped color pattern and are poisonous. Arizona mountain king snakes look like western coral snakes but are not poisonous. The color pattern of the Arizona mountain king snake is an example of,"{'text': array(['camouflage.', 'mimicry.', 'mutualism.', 'parasitism.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_400056,Which plant trait is inherited?,"{'text': array(['the shape of its leaves', 'the amount of water it receives',
       'the number of minerals it absorbs from soil',
       'the level of sunlight to which it is exposed'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_406463,"A student put 200 milliliters (mL) of water into a pot, sets the pot on a burner, and heats the water to boil. When the pot is taken off the burner, it contains only 180 milliliters (mL) of water. What happened to the rest of the water?","{'text': array(['It was used up.', 'It condensed.', 'It was absorbed by the heat.',
       'It turned into water vapor.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_SC_408702,Howie put his plants under a plant light. What was he helping his plants do by providing light?,"{'text': array(['make food', 'attract insects', 'release pollen', 'grow roots'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_406518,Which lists the diameter of the planets in order from smallest to largest?,"{'text': array(['Venus, Earth, Mercury, Mars', 'Earth, Mars, Venus, Mercury',
       'Mars, Mercury, Earth, Venus', 'Mercury, Mars, Venus, Earth'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_SC_410872,The aloe plant can absorb a lot of water during a rain shower. The extra water is stored in its leaves. The ability to store water in its leaves is most likely an adaptation to which type of environment?,"{'text': array(['one near the ocean', 'one with dry conditions',
       'one with a variety of organisms',
       'one that receives a lot of sunlight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7107258,"When stratospheric ozone levels are reduced, the amount of ultraviolet radiation hitting Earth increases. Ozone depletion is most often caused","{'text': array(['by the reversal of the magnetic field of Earth.',
       'when fluorocarbons are released into the atmosphere.',
       'when electromagnetic waves from the Sun increase.',
       'by abrupt changes in weather and climate patterns.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
MCAS_2010_5_11992,Owen tested a physical property of a mineral. He rubbed a mineral sample on a piece of white tile. The mineral left a red mark on the tile. Which of the following physical properties of the mineral was Owen most likely testing?,"{'text': array(['cleavage', 'hardness', 'luster', 'streak'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
TIMSS_2011_4_pg91,Which of these animals has a young form that looks the most like the adult form?,"{'text': array(['moth', 'human', 'frog', 'butterfly'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7093275,Two tectonic plates pushing toward each other cause intense heat and pressure in Earth's crust. Into which will crust material be changed by heat and pressure?,"{'text': array(['fossils', 'sediments', 'igneous rock', 'metamorphic rock'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_7083493,A student states that plants grow taller when grown in natural light than they do in artificial light. Which method is the best way to determine if the statement is fact or opinion?,"{'text': array(['conduct a controlled experiment',
       'discuss the statement with other students',
       'ask several teachers their thoughts',
       'propose a scientific conclusion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_401793,Which object is powered by an electrical circuit?,"{'text': array(['a drum', 'a flashlight', 'a matchstick', 'a wind-up toy'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7245560,"Which concept supports the endosymbiotic origin of complex, eukaryotic double-membrane structures?","{'text': array(['Mitochondria and chloroplasts arise from preexisting mitochondria and chloroplasts.',
       'Mitochondria and chloroplasts arise from preexisting endomembrane systems.',
       'Mitochondria and chloroplasts are synthesized in the nucleus.',
       'Mitochondria and chloroplasts are synthesized in ribosomes.'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
VASoL_2010_5_1,Which of these human activities most relies on high-quality soil?,"{'text': array(['Hiking', 'Hunting', 'Coal mining', 'Growing crops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
Mercury_SC_415075,What is an example of a shelter in an ecosystem?,"{'text': array(['a gray squirrel eating an acorn', 'a raccoon in a hollow log',
       'a blue whale migrating', 'a tick feeding on a coyote'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7026408,Some areas of the world are experiencing more desert-like conditions. This change most favors survival of species with the ability to do which of the following?,"{'text': array(['consume large amounts of food', 'become dormant for long periods',
       'sense infrared and ultraviolet light',
       'transpire water through the skin to the atmosphere'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
NAEP_2009_4_S11+2,Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?,"{'text': array(['The eruption of a volcano',
       'The erosion of the walls of a canyon',
       'The uplifting of mountain ranges',
       'The forming of dunes or mounds in a desert'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
Mercury_7081428,"When an earthquake wave passes from the crust to the mantle, the wave","{'text': array(['reverses direction.', 'changes speed.', 'increases energy.',
       'stops moving.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
OHAT_2008_5_20,A student wraps a wire around an iron nail. The student then connects the wire to a battery. The nail attracts another nail and they stick together. What force holds the two nails together?,"{'text': array(['gravitational force', 'magnetic force', 'electric force',
       'friction force'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
MSA_2015_5_8,Natural processes cause rapid and slow changes to Earth's surface. Which event causes changes to Earth's surface most rapidly?,"{'text': array(['an earthquake shaking the ground', 'sediment washing into a bay',
       'a rainstorm weathering rock', 'water flowing in stream'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_7219135,"Since 1961, Nevada has led the United States in production of which resource?","{'text': array(['gold', 'uranium', 'lumber', 'iron'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
Mercury_SC_407594,A class is testing the effect of exercise on heart rate. The heart rate of two students before exercise is compared to their heart rate after running around a track. Which procedure will most likely help the class correctly compare the results of the two students?,"{'text': array(['test students who are the same height',
       'have the students run on the same day',
       'measure the distance each student runs',
       'have the students run for the same amount of time'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
