text,label
"Netflix CEO Rates Blockbuster, Amazon Threats (Reuters) Reuters - Netflix Inc chief\executive Reed Hastings said on Friday that Blockbuster Inc has\more to lose in the war for online DVD renters than emerging\foe Amazon.com Inc.",3
"Fake goods tempting young adults Young people are increasingly happy to buy pirated goods or illegal download content from the net, a survey shows.",3
RealNetworks signs up Red Flag Linux Digital media company signs up a new Linux partner to distribute its audio and video player.,3
"Stop croc water swimming: coroner THE public still did not appreciate how frighteningly dangerous crocodiles were, even after the fatal mauling of a German tourist two years ago, a coroner said today.",0
"O'Brien Sues OSU for  #36;3.4 Million (AP) AP - Former Ohio State basketball coach Jim O'Brien sued the school, claiming he is owed at least  #36;3.4 million because his firing violated terms of his contract.",1
"Construction Spending Hits All-Time High WASHINGTON - Construction spending surged in August to the highest level on record, while manufacturing grew at a slower pace in September, offering mixed signals about the economy's strength.    The Commerce Department reported Friday that the value of buildings put in place clocked in at a seasonally adjusted annual rate of \$1.02 trillion, a record high...",0
"Hewitt Wins Long Island, Sends U.S. Open Warning  COMMACK, New York (Reuters) - Former world number one  Lleyton Hewitt hammered out a warning to his rivals for next  week's U.S. Open as he demolished Peru's Luis Horna 6-3, 6-1,  to win the Long Island Cup on Sunday.",1
"Alaska Brown Bears Gather for Annual Salmon Feast Each summer, the falls at McNeil River turn into a mosh pit of bears. Instead of thumping music, it's the sound of salmon slapping their way up the falls at the McNeil River State Game Sanctuary that sends the bears into a fishing frenzy.",3
"MLB Notebook: Johnson trade still in the works The New York Yankees, Arizona and Los Angeles spent yesterday trying to put the finishing touches on the megadeal that would move All-Stars Randy Johnson, Shawn Green and Javier Vazquez.",1
MSN #39;s download service expanding Microsoft #39;s has launched its MSN music download service in eight more European countries as the software giant bids to takes on Apple #39;s market leading iTunes.,3
US Army to withhold portion of Halliburton payments The billing dispute between the US Army and Houston-based Halliburton Co. continues as the Army on Tuesday said it would withhold paying 15 percent of future invoices from Halliburton. ,2
Geminid Meteor Shower Could Be Spectacular DENVER -- Coloradans willing to brave the nighttime cold and get away from the lights of the city could be in for a spectacular show Monday night.,3
"The U.S. Gives Mia Hamm a Golden Farewell  ATHENS (Reuters) - The United States gave Hall of Famer Mia  Hamm the perfect send-off Thursday, beating Brazil 2-1 to win  Olympic gold in the women's soccer tournament.",1
"US Considering Incentives for Iran Resigning Iranian Vice-President Mohammad Ali Abtahi, center, and newly appointed Vice-President Majid Ansari, second left, attend a meeting of the central council of their party President Mohammad Khatami accepted Abtahi #39;s resignation, in Tehran, Iran ",0
"In Our View: Sanctions not enough for Sudan While most of the country #39;s attention has been focused on Iraq, a human-rights crisis has been unfolding in north Africa. In Darfur, Sudan, more than 50,000 people have been killed and 1.2 million displaced ",0
"Apex court permits night viewing of Taj Mahal: India News: New Delhi, Nov 25 : The Supreme Court Thursday permitted the Uttar Pradesh government to allow visitors to view the Taj Mahal on five moonlit nights a month.",0
Krispy Kreme #39;s hot streak cools The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.,2
"EU Wants to Cut Greenhouse Gases in Cars, Shoes (Reuters) Reuters - The European Union's battle against\global warming will force companies to change automobile air\conditioning systems and restrict the sale of air-cushioned\sports shoes, European Union ministers said on Thursday.",3
